Rang,Name,1970,1980,1990,2000,2010,2020,2022,Bundesland

1.,Berlin,3.208.719,3.048.759,3.433.695,3.382.169,3.460.725,3.664.088,3.755.251,Berlin

2.,Hamburg,1.793.640,1.645.095,1.652.363,1.715.392,1.786.448,1.852.478,1.892.122,Hamburg

3.,München,1.311.978,1.298.941,1.229.026,1.210.223,1.353.186,1.488.202,1.512.491,Bayern

4.,Köln,849.451,976.694,953.551,962.884,1.007.119,1.083.498,1.084.831,Nordrhein-Westfalen

5.,Frankfurt am Main,666.179,629.375,644.865,646.550,679.664,764.104,773.068,Hessen

6.,Stuttgart,634.202,580.648,579.988,583.874,606.588,630.305,632.865,Baden-Württemberg

7.,Düsseldorf,660.963,590.479,575.794,569.364,588.735,620.523,629.047,Nordrhein-Westfalen

8.,Leipzig,583.885,562.480,511.079,493.208,522.883,597.493,616.093,Sachsen

9.,Dortmund,640.642,608.297,599.055,588.994,580.444,587.696,593.317,Nordrhein-Westfalen

10.,Essen,696.419,647.643,626.973,595.243,574.635,582.415,584.580,Nordrhein-Westfalen

11.,Bremen,592.533,555.118,551.219,539.403,547.340,566.573,569.396,Bremen

12.,Dresden,502.432,516.225,490.571,477.807,523.058,556.227,563.311,Sachsen

13.,Hannover,521.003,534.623,513.010,515.001,522.686,534.049,545.045,Niedersachsen

14.,Nürnberg,478.181,484.405,493.692,488.400,505.664,515.543,523.026,Bayern

15.,Duisburg,452.721,558.089,535.447,514.915,489.559,495.885,502.211,Nordrhein-Westfalen

16.,Bochum,343.809,400.757,396.486,391.147,374.737,364.454,365.742,Nordrhein-Westfalen

17.,Wuppertal,417.694,393.381,383.660,366.434,349.721,355.004,358.876,Nordrhein-Westfalen

18.,Bielefeld,168.609,312.708,319.037,321.758,323.270,333.509,338.332,Nordrhein-Westfalen

19.,Bonn,275.722,288.148,292.234,302.247,324.899,330.579,336.465,Nordrhein-Westfalen

20.,Münster,198.878,269.696,259.438,265.609,279.803,316.403,320.946,Nordrhein-Westfalen

21.,Mannheim,332.378,304.303,310.411,306.729,313.174,309.721,315.554,Baden-Württemberg

22.,Karlsruhe,259.091,271.892,275.061,278.558,294.761,308.436,308.707,Baden-Württemberg

23.,Augsburg,213.230,248.346,256.877,254.982,264.708,295.830,301.033,Bayern

24.,Wiesbaden,250.715,274.464,260.301,270.109,275.976,278.609,283.083,Hessen

25.,Mönchengladbach,151.085,258.424,259.436,263.014,257.993,259.665,268.465,Nordrhein-Westfalen

26.,Gelsenkirchen,347.074,304.386,293.714,278.695,257.981,259.105,263.000,Nordrhein-Westfalen

27.,Aachen,175.451,243.947,241.861,244.386,258.664,248.878,252.136,Nordrhein-Westfalen

28.,Braunschweig,223.275,261.141,258.833,245.816,248.867,248.561,251.804,Niedersachsen

29.,Chemnitz.mw-parser-output .fussnoten-marke{font-size:0.75rem;font-style:normal;font-variant:normal;font-weight:normal;unicode-bidi:isolate;white-space:nowrap}.mw-parser-output .fussnoten-marke.reference,.mw-parser-output span.fussnoten-inhalt{padding-left:0.1rem}.mw-parser-output .fussnoten-marke.reference~.fussnoten-marke.reference,.mw-parser-output span.fussnoten-inhalt~span.fussnoten-inhalt{padding-left:0.15rem}.mw-parser-output .fussnoten-block{margin-bottom:0.1rem}.mw-parser-output div.fussnoten-inhalt{display:inline-block;padding-left:0.8rem;text-indent:-0.8rem}.mw-parser-output div.fussnoten-inhalt p,.mw-parser-output div.fussnoten-inhalt dl,.mw-parser-output div.fussnoten-inhalt ol,.mw-parser-output div.fussnoten-inhalt ul{text-indent:0}.mw-parser-output div.fussnoten-inhalt.fussnoten-floatfix{display:block}.mw-parser-output .fussnoten-box{margin-top:0.5rem;padding-left:0.8rem}.mw-parser-output .fussnoten-box,.mw-parser-output div.fussnoten-inhalt{font-size:94%}.mw-parser-output .fussnoten-box div.fussnoten-inhalt,.mw-parser-output span.fussnoten-inhalt,.mw-parser-output .fussnoten-inhalt .mw-reference-text{font-size:inherit}.mw-parser-output .fussnoten-inhalt .mw-reference-text{display:inline}.mw-parser-output .fussnoten-linie{display:inline-block;position:relative;top:-1em;border-top:solid 1px #808080;width:8rem}.mw-parser-output .fussnoten-linie+p,.mw-parser-output .fussnoten-linie+dl,.mw-parser-output .fussnoten-linie+ol,.mw-parser-output .fussnoten-linie+ul,.mw-parser-output .fussnoten-linie+link+div{margin-top:-1em}.mw-parser-output .fussnoten-marke.reference:target,.mw-parser-output .fussnoten-inhalt:target{background-color:#eaf3ff;box-shadow:0 0 0 0.25em #eaf3ff}.mw-parser-output .fussnoten-marke.reference:target,.mw-parser-output .fussnoten-inhalt:target .fussnoten-marke{font-weight:bold}⁠1,299.411,317.644,294.244,259.246,243.248,244.401,248.563,Sachsen

30.,Kiel,271.042,250.062,245.567,232.612,239.526,246.601,247.717,Schleswig-Holstein

31.,Halle (Saale),257.261,232.294,310.234,247.736,232.963,237.865,242.083,Sachsen-Anhalt

