index,No. of orders per city,No. of vendors per city,Population per city,Avg. Order Volume per Resident per City,Avg. No. of Partners per City
Aachen,,,252136.0,,
Aalen,,,68816.0,,
Achern,,,26471.0,,
Achim,,,32752.0,,
Ahaus,,,40245.0,,
Ahlen,,,53348.0,,
Ahrensburg,,,34509.0,,
Aichach,,,21908.0,,
Albstadt⁠5,,,46422.0,,
Alfter⁠(*),,,23904.0,,
Alsdorf,,,48328.0,,
Altenburg,,,31315.0,,
Amberg,,,42534.0,,
Andernach,,,30277.0,,
Ansbach,,,42221.0,,
Apolda,,,23072.0,,
Arnsberg,,,74323.0,,
Arnstadt,,,28124.0,,
Aschaffenburg,,,72444.0,,
Aschersleben,,,26604.0,,
Attendorn,,,24448.0,,
Augsburg,567.0,2.0,301033.0,0.0018835144319725744,2.0
Aurich,,,42970.0,,
Backnang,,,37957.0,,
Bad Harzburg,,,21738.0,,
Bad Hersfeld,,,30652.0,,
Bad Homburg vor der Höhe,,,54996.0,,
Bad Honnef,,,26061.0,,
Bad Kissingen,,,23037.0,,
Bad Kreuznach,,,52529.0,,
Bad Krozingen,,,21684.0,,
Bad Mergentheim,,,24564.0,,
Bad Nauheim,,,33445.0,,
Bad Neuenahr-Ahrweiler,,,26669.0,,
Bad Oeynhausen,,,49477.0,,
Bad Oldesloe,,,24935.0,,
Bad Rappenau,,,22356.0,,
Bad Salzuflen,,,54808.0,,
Bad Salzungen,,,23013.0,,
Bad Schwartau,28.0,1.0,20255.0,0.0013823747222907923,1.0
Bad Soden am Taunus,,,23162.0,,
Bad Vilbel,,,35758.0,,
Bad Waldsee,,,20630.0,,
Bad Zwischenahn⁠(*) ⁠22,,,29803.0,,
Baden-Baden,,,57025.0,,
Baesweiler,,,27620.0,,
Balingen,,,34945.0,,
Bamberg,,,79935.0,,
Barsinghausen,,,35156.0,,
Baunatal,,,28339.0,,
Bautzen,,,38140.0,,
Bayreuth,,,74506.0,,
Beckum,,,37333.0,,
Bedburg,,,24302.0,,
Bensheim,,,42089.0,,
Bergheim,,,62376.0,,
Bergisch Gladbach,,,112712.0,,
Bergkamen,,,49263.0,,
Berlin,58126.0,35.0,3755251.0,0.015478592509528658,35.0
Bernau bei Berlin,,,43685.0,,
Bernburg (Saale),,,32261.0,,
Biberach an der Riß,,,34008.0,,
Bielefeld,3669.0,2.0,338332.0,0.010844377711833346,2.0
Bietigheim-Bissingen⁠7,,,43755.0,,
Bingen am Rhein,,,26309.0,,
Bitterfeld-Wolfen⁠8,,,37894.0,,
Blankenfelde-Mahlow⁠(*) ⁠25,,,29159.0,,
Blieskastel,,,20240.0,,
Bocholt,,,71930.0,,
Bochum,911.0,2.0,365742.0,0.002490826867026483,2.0
Bonn,,,336465.0,,
Borken,,,43489.0,,
Bornheim,,,49025.0,,
Bottrop,,,118113.0,,
Bramsche,,,32179.0,,
Brandenburg an der Havel,1015.0,1.0,73609.0,0.013789074705538725,1.0
Braunschweig,,,251804.0,,
Bremen,465.0,2.0,569396.0,0.0008166548412703988,2.0
Bremerhaven,1055.0,1.0,115468.0,0.009136730522742232,1.0
Bretten,,,30073.0,,
Brilon,,,25511.0,,
Bruchköbel,,,20825.0,,
Bruchsal,,,46587.0,,
Brühl,,,44804.0,,
Buchholz in der Nordheide,,,40810.0,,
Burg,,,22689.0,,
Burgdorf,,,31287.0,,
Burgwedel⁠32,,,20506.0,,
Butzbach,,,27402.0,,
Buxtehude,,,40919.0,,
Böblingen,,,51460.0,,
Büdingen,,,22622.0,,
Bühl,177.0,1.0,29133.0,0.006075584388837401,1.0
Bünde,,,46030.0,,
Büren,,,21483.0,,
Calw,,,24219.0,,
Castrop-Rauxel,,,73795.0,,
Celle,,,70138.0,,
Cloppenburg,,,37056.0,,
Coburg,,,41842.0,,
Coesfeld,,,37030.0,,
Coswig,,,20512.0,,
Cottbus,,,99515.0,,
Crailsheim,,,35760.0,,
Cuxhaven,,,48562.0,,
Dachau,,,48195.0,,
